modelo,window,transform,exog,n_exog,use_tda,estrategia,fold,mae,rmse,mape,r2,__label__
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,True,exclude,1,29.266545786680258,36.29287717659752,23.15916412510568,0.0678762919627791,ElasticNet|w36|seasonal_diff|dies+mxn_|tda|exclude
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,True,exclude,2,48.079566321155184,55.800441987034354,37.9397487325734,-0.923083432746661,ElasticNet|w36|seasonal_diff|dies+mxn_|tda|exclude
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,True,exclude,3,41.71073666793493,55.99537972455278,28.34590763661446,-1.172437711966634,ElasticNet|w36|seasonal_diff|dies+mxn_|tda|exclude
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,True,isolation,1,30.133642737136235,36.55072007660135,23.7737306498114,0.0545846902855825,ElasticNet|w36|seasonal_diff|dies+mxn_|tda|isolation
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,True,isolation,2,35.4618585243507,44.210609070164594,27.43453750371159,-0.207190598852351,ElasticNet|w36|seasonal_diff|dies+mxn_|tda|isolation
ElasticNet,36,seasonal_diff,diesel_price+mxn_usd,2,True,isolation,3,38.98032271651992,52.18236861585552,29.21891157401657,-0.8866464453844081,ElasticNet|w36|seasonal_diff|dies+mxn_|tda|isolation
ElasticNet,36,seasonal_diff,cpi_fresh_fruits+ppi_fertilizers+diesel_price,3,False,none,1,30.84187302910412,37.66850426274651,24.314868230291,-0.0041243699492938,ElasticNet|w36|seasonal_diff|cpi_+ppi_+dies
ElasticNet,36,seasonal_diff,cpi_fresh_fruits+ppi_fertilizers+diesel_price,3,False,none,2,40.21824360708903,47.24054335901785,32.39621264669997,-0.3783281215875604,ElasticNet|w36|seasonal_diff|cpi_+ppi_+dies
ElasticNet,36,seasonal_diff,cpi_fresh_fruits+ppi_fertilizers+diesel_price,3,False,none,3,37.5587139831613,44.05050071761324,28.294524822775724,-0.3444499636897939,ElasticNet|w36|seasonal_diff|cpi_+ppi_+dies
ElasticNet,36,seasonal_diff,cpi_fresh_fruits+ppi_fertilizers+diesel_price,3,False,dummy,1,30.84187302910412,37.66850426274651,24.314868230291,-0.0041243699492938,ElasticNet|w36|seasonal_diff|cpi_+ppi_+dies|dummy
ElasticNet,36,seasonal_diff,cpi_fresh_fruits+ppi_fertilizers+diesel_price,3,False,dummy,2,40.21824360708903,47.24054335901785,32.39621264669997,-0.3783281215875604,ElasticNet|w36|seasonal_diff|cpi_+ppi_+dies|dummy
ElasticNet,36,seasonal_diff,cpi_fresh_fruits+ppi_fertilizers+diesel_price,3,False,dummy,3,37.5587139831613,44.05050071761324,28.294524822775724,-0.3444499636897939,ElasticNet|w36|seasonal_diff|cpi_+ppi_+dies|dummy
ElasticNet,36,seasonal_diff,cpi_fresh_fruits+ppi_fertilizers+diesel_price,3,False,winsorize,1,30.84187302910412,37.66850426274651,24.314868230291,-0.0041243699492938,ElasticNet|w36|seasonal_diff|cpi_+ppi_+dies|winsorize
ElasticNet,36,seasonal_diff,cpi_fresh_fruits+ppi_fertilizers+diesel_price,3,False,winsorize,2,40.21824360708903,47.24054335901785,32.39621264669997,-0.3783281215875604,ElasticNet|w36|seasonal_diff|cpi_+ppi_+dies|winsorize
ElasticNet,36,seasonal_diff,cpi_fresh_fruits+ppi_fertilizers+diesel_price,3,False,winsorize,3,37.5587139831613,44.05050071761324,28.294524822775724,-0.3444499636897939,ElasticNet|w36|seasonal_diff|cpi_+ppi_+dies|winsorize
ElasticNet,36,seasonal_diff,cpi_fresh_fruits+ppi_fertilizers+diesel_price,3,False,exclude,1,30.84187302910412,37.66850426274651,24.314868230291,-0.0041243699492938,ElasticNet|w36|seasonal_diff|cpi_+ppi_+dies|exclude
ElasticNet,36,seasonal_diff,cpi_fresh_fruits+ppi_fertilizers+diesel_price,3,False,exclude,2,40.21824360708903,47.24054335901785,32.39621264669997,-0.3783281215875604,ElasticNet|w36|seasonal_diff|cpi_+ppi_+dies|exclude
